# FP1-F7,F7-T7,T7-P7,P7-O1,--0,FP1-F3,F3-C3,C3-P3,P3-O1,--1,FZ-CZ,CZ-PZ,--2,FP2-F4,F4-C4,C4-P4,P4-O2,--3,FP2-F8,F8-T8,T8-P8-0,P8-O2,--4,P7-T7,T7-FT9,FT9-FT10,FT10-T8,T8-P8-1
1.035409035409035221e-05,5.255189255189254881e-05,4.903540903540903271e-05,2.012210012210011953e-05,1.953601953601946625e-07,3.340659340659340635e-05,4.278388278388277810e-05,3.614163614163613808e-05,1.894993894993894976e-05,1.953601953601946625e-07,1.582417582417582245e-05,4.630036630036629420e-05,1.953601953601946625e-07,1.738705738705738441e-05,6.446886446886445620e-06,2.793650793650793610e-05,8.009768009768009273e-06,1.953601953601946625e-07,2.754578754578754392e-05,2.148962148962148540e-06,2.481074481074480880e-05,6.446886446886445620e-06,1.953601953601946625e-07,-4.864468864468864053e-05,-3.340659340659340635e-05,1.269841269841269684e-05,5.665445665445664641e-06,2.481074481074480880e-05
5.274725274725273304e-06,4.161172161172160832e-05,5.606837606837606491e-05,2.402930402930402782e-05,1.953601953601946625e-07,3.262515262515262198e-05,3.770451770451770682e-05,3.418803418803418394e-05,2.207570207570207368e-05,1.953601953601946625e-07,8.400488400488398069e-06,4.551892551892551661e-05,1.953601953601946625e-07,3.321123321123320433e-06,9.572649572649571232e-06,3.809523809523809222e-05,4.493284493284492325e-06,1.953601953601946625e-07,1.269841269841269684e-05,4.981684981684981708e-05,-8.791208791208791947e-06,3.711843711843710922e-06,1.953601953601946625e-07,-5.567765567765567950e-05,-1.504273504273504148e-05,1.230769230769230635e-05,3.848595848595848441e-05,-8.791208791208791947e-06
1.758241758241757415e-06,3.653235653235653026e-05,4.395604395604395465e-05,3.926739926739926877e-05,1.953601953601946625e-07,3.809523809523809222e-05,2.715506715506715174e-05,2.793650793650793610e-05,2.793650793650793610e-05,1.953601953601946625e-07,9.768009768009760124e-07,3.770451770451770682e-05,1.953601953601946625e-07,-3.711843711843712193e-06,5.860805860805853110e-07,3.809523809523809222e-05,1.113553113553113488e-05,1.953601953601946625e-07,9.768009768009760124e-07,3.028083028083027904e-05,9.768009768009760124e-07,1.465201465201465099e-05,1.953601953601946625e-07,-4.356532356532356247e-05,-2.168498168498168488e-05,1.308913308913308903e-05,2.949938949938949467e-05,9.768009768009760124e-07
2.148962148962148540e-06,3.067155067155066784e-05,3.731379731379731463e-05,4.356532356532356247e-05,1.953601953601946625e-07,4.395604395604395465e-05,2.051282051282051172e-05,2.559218559218558978e-05,2.285714285714285804e-05,1.953601953601946625e-07,-6.837606837606837804e-06,2.559218559218558978e-05,1.953601953601946625e-07,1.953601953601946625e-07,-2.930402930402930790e-06,3.106227106227106002e-05,7.228327228327227447e-06,1.953601953601946625e-07,-6.446886446886447315e-06,-6.446886446886447315e-06,3.379731379731379853e-05,1.621489621489621464e-05,1.953601953601946625e-07,-3.692307692307692245e-05,-1.894993894993894976e-05,1.113553113553113488e-05,1.367521367521366926e-06,3.379731379731379853e-05
1.953601953601946625e-07,4.083028083028082396e-05,1.230769230769230635e-05,5.489621489621488836e-05,1.953601953601946625e-07,4.356532356532356247e-05,1.738705738705738441e-05,2.207570207570207368e-05,2.481074481074480880e-05,1.953601953601946625e-07,-1.191697191697191756e-05,1.387057387057386831e-05,1.953601953601946625e-07,4.102564102564101835e-06,-9.181929181929182436e-06,2.598290598290598196e-05,6.446886446886445620e-06,1.953601953601946625e-07,-1.777777777777777660e-05,-1.777777777777777660e-05,4.395604395604395465e-05,2.129426129426129270e-05,1.953601953601946625e-07,-1.191697191697191756e-05,-1.621489621489621464e-05,1.758241758241757415e-06,-1.465201465201465268e-05,4.395604395604395465e-05
2.148962148962148540e-06,5.841269841269841124e-05,-2.442002442002442000e-05,6.974358974358973713e-05,1.953601953601946625e-07,4.864468864468864053e-05,1.035409035409035221e-05,1.777777777777777660e-05,2.754578754578754392e-05,1.953601953601946625e-07,-1.738705738705738780e-05,8.009768009768009273e-06,1.953601953601946625e-07,1.230769230769230635e-05,-1.777777777777777660e-05,1.816849816849816539e-05,1.230769230769230635e-05,1.953601953601946625e-07,-1.777777777777777660e-05,-2.559218559218559317e-05,3.965811965811965418e-05,3.028083028083027904e-05,1.953601953601946625e-07,2.481074481074480880e-05,-2.949938949938950145e-05,-8.009768009768009273e-06,-1.347985347985347952e-05,3.965811965811965418e-05
9.963369963369963416e-06,5.528693528693528732e-05,-2.989010989010989025e-05,6.505494505494504448e-05,1.953601953601946625e-07,5.372405372405372536e-05,6.056166056166055131e-06,1.426129426129426050e-05,2.520146520146520098e-05,1.953601953601946625e-07,-2.363858363858363902e-05,3.711843711843710922e-06,1.953601953601946625e-07,1.660561660561660343e-05,-1.973137973137973074e-05,1.191697191697191417e-05,1.308913308913308903e-05,1.953601953601946625e-07,-1.582417582417582245e-05,-2.324786324786324684e-05,3.653235653235653026e-05,2.637362637362637076e-05,1.953601953601946625e-07,3.028083028083027904e-05,-3.262515262515262198e-05,-1.113553113553113658e-05,-5.274725274725274999e-06,3.653235653235653026e-05
1.113553113553113488e-05,4.200244200244200051e-05,-1.308913308913309072e-05,5.059829059829059467e-05,1.953601953601946625e-07,5.489621489621488836e-05,4.493284493284492325e-06,1.152625152625152537e-05,1.894993894993894976e-05,1.953601953601946625e-07,-2.793650793650793610e-05,5.860805860805853110e-07,1.953601953601946625e-07,1.855921855921855758e-05,-2.402930402930402782e-05,1.738705738705738441e-05,7.619047619047617936e-06,1.953601953601946625e-07,-1.113553113553113658e-05,-1.191697191697191756e-05,2.793650793650793610e-05,1.660561660561660343e-05,1.953601953601946625e-07,1.347985347985347952e-05,-7.228327228327229141e-06,-1.191697191697191756e-05,-4.102564102564102683e-06,2.793650793650793610e-05
1.465201465201465099e-05,3.145299145299145221e-05,-1.074481074481074439e-05,4.747252747252747075e-05,1.953601953601946625e-07,5.802197802197801905e-05,1.758241758241757415e-06,6.056166056166055131e-06,1.543345543345543027e-05,1.953601953601946625e-07,-2.754578754578754731e-05,-1.758241758241758898e-06,1.953601953601946625e-07,1.621489621489621464e-05,-2.793650793650793610e-05,1.973137973137973074e-05,5.274725274725273304e-06,1.953601953601946625e-07,-9.572649572649572926e-06,2.148962148962148540e-06,9.181929181929180742e-06,1.308913308913308903e-05,1.953601953601946625e-07,1.113553113553113488e-05,5.860805860805853110e-07,9.768009768009760124e-07,-4.102564102564102683e-06,9.181929181929180742e-06
1.543345543345543027e-05,2.598290598290598196e-05,-1.035409035409035391e-05,4.161172161172160832e-05,1.953601953601946625e-07,5.684981684981684250e-05,3.711843711843710922e-06,3.321123321123320433e-06,8.009768009768009273e-06,1.953601953601946625e-07,-2.676434676434676294e-05,-3.711843711843712193e-06,1.953601953601946625e-07,1.426129426129426050e-05,-2.442002442002442000e-05,1.621489621489621464e-05,6.446886446886445620e-06,1.953601953601946625e-07,-4.884004884004884509e-06,-4.102564102564102683e-06,6.056166056166055131e-06,1.738705738705738441e-05,1.953601953601946625e-07,1.074481074481074270e-05,-9.181929181929182436e-06,1.113553113553113488e-05,-5.274725274725274999e-06,6.056166056166055131e-06
1.621489621489621464e-05,2.832722832722832490e-05,-1.035409035409035391e-05,3.731379731379731463e-05,1.953601953601946625e-07,5.567765567765567950e-05,1.113553113553113488e-05,5.665445665445664641e-06,-2.148962148962149811e-06,1.953601953601946625e-07,-2.363858363858363902e-05,-3.321123321123321703e-06,1.953601953601946625e-07,1.308913308913308903e-05,-2.559218559218559317e-05,1.973137973137973074e-05,4.493284493284492325e-06,1.953601953601946625e-07,-1.367521367521368196e-06,-5.274725274725274999e-06,4.102564102564101835e-06,1.582417582417582245e-05,1.953601953601946625e-07,1.074481074481074270e-05,-1.347985347985347952e-05,2.051282051282051172e-05,-8.400488400488399763e-06,4.102564102564101835e-06
2.363858363858363564e-05,4.903540903540903271e-05,-3.145299145299145221e-05,3.848595848595848441e-05,1.953601953601946625e-07,5.294261294261293422e-05,1.934065934065933856e-05,1.152625152625152537e-05,-4.102564102564102683e-06,1.953601953601946625e-07,-1.504273504273504148e-05,2.930402930402929519e-06,1.953601953601946625e-07,1.113553113553113488e-05,-2.090354090354090390e-05,2.207570207570207368e-05,7.619047619047617936e-06,1.953601953601946625e-07,-1.953601953601960389e-07,-5.860805860805867933e-07,-9.768009768009774947e-07,2.363858363858363564e-05,1.953601953601946625e-07,3.184371184371184439e-05,-2.246642246642246586e-05,9.572649572649571232e-06,-1.504273504273504148e-05,-9.768009768009774947e-07
3.223443223443222980e-05,5.841269841269841124e-05,-4.434676434676434683e-05,4.434676434676434683e-05,1.953601953601946625e-07,5.411477411477411077e-05,2.598290598290598196e-05,1.152625152625152537e-05,-1.367521367521368196e-06,1.953601953601946625e-07,-8.400488400488399763e-06,7.619047619047617936e-06,1.953601953601946625e-07,1.347985347985347952e-05,-1.621489621489621464e-05,2.051282051282051172e-05,1.465201465201465099e-05,1.953601953601946625e-07,8.791208791208790252e-06,1.230769230769230635e-05,-2.520146520146520098e-05,3.809523809523809222e-05,1.953601953601946625e-07,4.473748473748473224e-05,-3.536019536019536049e-05,1.953601953601946625e-07,7.228327228327227447e-06,-2.520146520146520098e-05
4.317460317460317028e-05,5.372405372405372536e-05,-4.903540903540903949e-05,4.004884004884004637e-05,1.953601953601946625e-07,5.567765567765567950e-05,2.754578754578754392e-05,1.074481074481074270e-05,-6.837606837606837804e-06,1.953601953601946625e-07,-4.884004884004884509e-06,6.056166056166055131e-06,1.953601953601946625e-07,1.347985347985347952e-05,-1.777777777777777660e-05,2.402930402930402782e-05,1.308913308913308903e-05,1.953601953601946625e-07,1.465201465201465099e-05,1.191697191697191417e-05,-2.871794871794871708e-05,3.536019536019536049e-05,1.953601953601946625e-07,4.942612942612942489e-05,-3.223443223443222980e-05,-7.228327228327229141e-06,7.619047619047617936e-06,-2.871794871794871708e-05
5.216117216117215663e-05,5.255189255189254881e-05,-6.192918192918192056e-05,3.262515262515262198e-05,1.953601953601946625e-07,5.489621489621488836e-05,2.442002442002441662e-05,7.619047619047617936e-06,-1.191697191697191756e-05,1.953601953601946625e-07,-5.860805860805867933e-07,4.493284493284492325e-06,1.953601953601946625e-07,1.582417582417582245e-05,-1.347985347985347952e-05,2.285714285714285804e-05,2.148962148962148540e-06,1.953601953601946625e-07,2.051282051282051172e-05,9.181929181929180742e-06,-3.262515262515262198e-05,3.145299145299145221e-05,1.953601953601946625e-07,6.231990231990231952e-05,-2.246642246642246586e-05,-1.855921855921856096e-05,-2.148962148962149811e-06,-3.262515262515262198e-05
5.450549450549450295e-05,5.177045177045177122e-05,-8.302808302808303072e-05,3.692307692307691567e-05,1.953601953601946625e-07,5.489621489621488836e-05,1.777777777777777660e-05,-4.102564102564102683e-06,-8.009768009768009273e-06,1.953601953601946625e-07,1.953601953601946625e-07,5.860805860805853110e-07,1.953601953601946625e-07,2.481074481074480880e-05,-1.934065934065934194e-05,1.934065934065933856e-05,1.953601953601946625e-07,1.953601953601946625e-07,2.207570207570207368e-05,1.191697191697191417e-05,-4.473748473748473224e-05,3.496947496947496153e-05,1.953601953601946625e-07,8.341880341880341613e-05,-3.301587301587302094e-05,-1.816849816849816539e-05,2.539682539682539030e-06,-4.473748473748473224e-05
5.645909645909645710e-05,4.317460317460317028e-05,-9.435897435897435662e-05,2.910866910866910588e-05,1.953601953601946625e-07,5.411477411477411077e-05,9.572649572649571232e-06,-1.152625152625152537e-05,-1.699633699633699562e-05,1.953601953601946625e-07,-1.758241758241758898e-06,-6.446886446886447315e-06,1.953601953601946625e-07,1.855921855921855758e-05,-1.074481074481074439e-05,1.347985347985347952e-05,-7.228327228327229141e-06,1.953601953601946625e-07,2.442002442002441662e-05,1.367521367521366926e-06,-4.004884004884004637e-05,2.793650793650793610e-05,1.953601953601946625e-07,9.474969474969475558e-05,-3.223443223443222980e-05,-2.285714285714285804e-05,-9.768009768009774947e-07,-4.004884004884004637e-05
5.724053724053724146e-05,4.278388278388277810e-05,-1.006105006105006045e-04,1.894993894993894976e-05,1.953601953601946625e-07,5.372405372405372536e-05,4.884004884004883662e-06,-1.426129426129426219e-05,-2.520146520146520098e-05,1.953601953601946625e-07,-1.367521367521368196e-06,-1.582417582417582245e-05,1.953601953601946625e-07,1.465201465201465099e-05,-7.228327228327229141e-06,1.113553113553113488e-05,-1.113553113553113658e-05,1.953601953601946625e-07,2.481074481074480880e-05,-1.543345543345543366e-05,-2.285714285714285804e-05,2.168498168498168149e-05,1.953601953601946625e-07,1.010012210012209899e-04,-2.676434676434676294e-05,-2.871794871794871708e-05,-2.168498168498168488e-05,-2.285714285714285804e-05
5.489621489621488836e-05,3.028083028083027904e-05,-9.240537240537240247e-05,1.816849816849816539e-05,1.953601953601946625e-07,4.864468864468864053e-05,5.274725274725273304e-06,-1.855921855921856096e-05,-2.324786324786324684e-05,1.953601953601946625e-07,-1.953601953601960389e-07,-1.699633699633699562e-05,1.953601953601946625e-07,2.012210012210011953e-05,-7.228327228327229141e-06,9.572649572649571232e-06,-9.181929181929182436e-06,1.953601953601946625e-07,2.754578754578754392e-05,-2.090354090354090390e-05,-1.387057387057387001e-05,2.090354090354090390e-05,1.953601953601946625e-07,9.279609279609278788e-05,-9.572649572649572926e-06,-3.145299145299145221e-05,-3.614163614163613808e-05,-1.387057387057387001e-05
5.724053724053724146e-05,1.074481074481074270e-05,-8.459096459096458590e-05,1.777777777777777660e-05,1.953601953601946625e-07,4.434676434676434683e-05,5.665445665445664641e-06,-2.324786324786324684e-05,-2.520146520146520098e-05,1.953601953601946625e-07,1.758241758241757415e-06,-2.090354090354090390e-05,1.953601953601946625e-07,1.465201465201465099e-05,1.953601953601946625e-07,6.446886446886445620e-06,-1.308913308913309072e-05,1.953601953601946625e-07,2.598290598290598196e-05,-1.816849816849816539e-05,-1.582417582417582245e-05,1.738705738705738441e-05,1.953601953601946625e-07,8.498168498168497131e-05,5.860805860805853110e-07,-4.043956043956043855e-05,-2.793650793650793610e-05,-1.582417582417582245e-05
5.724053724053724146e-05,6.446886446886445620e-06,-8.380952380952380154e-05,1.426129426129426050e-05,1.953601953601946625e-07,4.043956043956043855e-05,9.572649572649571232e-06,-2.481074481074480880e-05,-3.106227106227106002e-05,1.953601953601946625e-07,4.884004884004883662e-06,-2.363858363858363902e-05,1.953601953601946625e-07,2.051282051282051172e-05,-4.102564102564102683e-06,1.074481074481074270e-05,-1.973137973137973074e-05,1.953601953601946625e-07,2.910866910866910588e-05,-1.934065934065934194e-05,-9.572649572649572926e-06,8.009768009768009273e-06,1.953601953601946625e-07,8.420024420024420050e-05,1.953601953601946625e-07,-3.536019536019536049e-05,-2.989010989010989025e-05,-9.572649572649572926e-06
5.528693528693528732e-05,5.860805860805853110e-07,-8.615384615384615464e-05,2.207570207570207368e-05,1.953601953601946625e-07,3.614163614163613808e-05,1.191697191697191417e-05,-2.676434676434676294e-05,-2.910866910866910588e-05,1.953601953601946625e-07,1.074481074481074270e-05,-2.012210012210011953e-05,1.953601953601946625e-07,2.910866910866910588e-05,-5.860805860805867933e-07,2.539682539682539030e-06,-1.894993894993894976e-05,1.953601953601946625e-07,2.598290598290598196e-05,-1.973137973137973074e-05,2.539682539682539030e-06,2.539682539682539030e-06,1.953601953601946625e-07,8.654456654456654005e-05,5.665445665445664641e-06,-2.949938949938950145e-05,-4.043956043956043855e-05,2.539682539682539030e-06
5.450549450549450295e-05,-1.308913308913309072e-05,-8.732600732600732441e-05,3.106227106227106002e-05,1.953601953601946625e-07,3.145299145299145221e-05,1.152625152625152537e-05,-2.871794871794871708e-05,-2.949938949938950145e-05,1.953601953601946625e-07,1.543345543345543027e-05,-1.621489621489621464e-05,1.953601953601946625e-07,2.637362637362637076e-05,2.539682539682539030e-06,-5.274725274725274999e-06,-1.699633699633699562e-05,1.953601953601946625e-07,2.168498168498168149e-05,-1.230769230769230805e-05,-2.539682539682540300e-06,5.860805860805853110e-07,1.953601953601946625e-07,8.771672771672770982e-05,8.009768009768009273e-06,-2.637362637362637415e-05,-2.910866910866910588e-05,-2.539682539682540300e-06
5.450549450549450295e-05,-1.347985347985347952e-05,-9.240537240537240247e-05,3.379731379731379853e-05,1.953601953601946625e-07,3.301587301587300739e-05,1.230769230769230635e-05,-2.949938949938950145e-05,-3.418803418803418394e-05,1.953601953601946625e-07,1.660561660561660343e-05,-1.230769230769230805e-05,1.953601953601946625e-07,2.051282051282051172e-05,9.768009768009760124e-07,-9.768009768009774947e-07,-1.660561660561660682e-05,1.953601953601946625e-07,2.129426129426129270e-05,-2.148962148962149811e-06,-6.056166056166056825e-06,-9.572649572649572926e-06,1.953601953601946625e-07,9.279609279609278788e-05,-2.539682539682540300e-06,-1.582417582417582245e-05,-1.191697191697191756e-05,-6.056166056166056825e-06
4.981684981684981708e-05,-1.621489621489621464e-05,-8.615384615384615464e-05,3.223443223443222980e-05,1.953601953601946625e-07,3.223443223443222980e-05,1.074481074481074270e-05,-2.793650793650793610e-05,-3.575091575091575267e-05,1.953601953601946625e-07,1.621489621489621464e-05,-9.572649572649572926e-06,1.953601953601946625e-07,1.543345543345543027e-05,-1.953601953601960389e-07,2.930402930402929519e-06,-1.855921855921856096e-05,1.953601953601946625e-07,2.090354090354090390e-05,1.308913308913308903e-05,-1.465201465201465268e-05,-1.894993894993894976e-05,1.953601953601946625e-07,8.654456654456654005e-05,4.884004884004883662e-06,-2.930402930402930790e-06,-5.274725274725274999e-06,-1.465201465201465268e-05
4.669108669108668638e-05,-4.122100122100122292e-05,-6.583638583638584240e-05,3.262515262515262198e-05,1.953601953601946625e-07,2.832722832722832490e-05,2.539682539682539030e-06,-2.832722832722832829e-05,-3.028083028083027904e-05,1.953601953601946625e-07,1.308913308913308903e-05,-9.572649572649572926e-06,1.953601953601946625e-07,9.963369963369963416e-06,-9.572649572649572926e-06,1.758241758241757415e-06,-9.963369963369963416e-06,1.953601953601946625e-07,2.285714285714285804e-05,2.871794871794871708e-05,-4.278388278388277810e-05,-1.543345543345543366e-05,1.953601953601946625e-07,6.622710622710622781e-05,2.246642246642246247e-05,7.619047619047617936e-06,1.347985347985347952e-05,-4.278388278388277810e-05
3.731379731379731463e-05,-3.770451770451770682e-05,-6.036630036630036538e-05,3.028083028083027904e-05,1.953601953601946625e-07,2.949938949938949467e-05,2.930402930402929519e-06,-3.184371184371184439e-05,-3.028083028083027904e-05,1.953601953601946625e-07,6.446886446886445620e-06,-1.074481074481074439e-05,1.953601953601946625e-07,2.539682539682539030e-06,-2.090354090354090390e-05,7.228327228327227447e-06,-5.665445665445665488e-06,1.953601953601946625e-07,1.973137973137973074e-05,5.059829059829059467e-05,-7.130647130647130587e-05,-1.465201465201465268e-05,1.953601953601946625e-07,6.075702075702075079e-05,9.181929181929180742e-06,1.191697191697191417e-05,5.216117216117215663e-05,-7.130647130647130587e-05
3.340659340659340635e-05,-2.402930402930402782e-05,-6.466422466422465907e-05,2.481074481074480880e-05,1.953601953601946625e-07,3.340659340659340635e-05,2.930402930402929519e-06,-3.262515262515262198e-05,-3.418803418803418394e-05,1.953601953601946625e-07,2.930402930402929519e-06,-1.426129426129426219e-05,1.953601953601946625e-07,6.056166056166055131e-06,-2.285714285714285804e-05,4.493284493284492325e-06,-8.791208791208791947e-06,1.953601953601946625e-07,1.152625152625152537e-05,2.793650793650793610e-05,-4.981684981684981708e-05,-1.113553113553113658e-05,1.953601953601946625e-07,6.505494505494504448e-05,-1.035409035409035391e-05,1.934065934065933856e-05,3.184371184371184439e-05,-4.981684981684981708e-05
2.246642246642246247e-05,-4.747252747252747075e-05,-3.653235653235653026e-05,2.871794871794871708e-05,1.953601953601946625e-07,3.028083028083027904e-05,1.367521367521366926e-06,-3.418803418803418394e-05,-2.949938949938950145e-05,1.953601953601946625e-07,-5.860805860805867933e-07,-1.465201465201465268e-05,1.953601953601946625e-07,4.102564102564101835e-06,-2.442002442002442000e-05,-3.321123321123321703e-06,-1.035409035409035391e-05,1.953601953601946625e-07,1.953601953601946625e-07,-1.230769230769230805e-05,-1.934065934065934194e-05,-1.953601953601960389e-07,1.953601953601946625e-07,3.692307692307691567e-05,1.269841269841269684e-05,1.660561660561660343e-05,-3.321123321123321703e-06,-1.934065934065934194e-05
